Time,Open,High,Low,Close,Volume
2025-04-11,0.1636,0.4448,0.1636,0.3722,2657698360.0
2025-04-12,0.3722,0.625,0.3637,0.4796,2876841823.0
2025-04-13,0.4796,0.54,0.4153,0.4302,1065467432.0
2025-04-14,0.4303,0.4818,0.343,0.3446,580363062.0
2025-04-15,0.3445,0.3511,0.271,0.2881,747559771.0
2025-04-16,0.2882,0.3258,0.2655,0.283,482846935.0
2025-04-17,0.283,0.2918,0.2343,0.2392,319029902.0
2025-04-18,0.2392,0.2466,0.2122,0.2265,395697865.0
2025-04-19,0.2266,0.2368,0.2112,0.2292,307101645.0
2025-04-20,0.2293,0.2879,0.2231,0.2583,439166686.0
2025-04-21,0.2583,0.2826,0.2344,0.2405,261942597.0
2025-04-22,0.2405,0.2648,0.2214,0.254,228957059.0
2025-04-23,0.2541,0.3444,0.2495,0.28,372457221.0
2025-04-24,0.2799,0.3433,0.2673,0.306,492503386.0
2025-04-25,0.3061,0.3633,0.2908,0.3365,245945540.0
2025-04-26,0.3364,0.3801,0.3314,0.3697,178742298.0
2025-04-27,0.3698,0.3765,0.3148,0.3255,146556518.0
2025-04-28,0.3255,0.3532,0.3092,0.3331,116312392.0
2025-04-29,0.3331,0.3727,0.3164,0.3581,105697918.0
2025-04-30,0.3581,0.4435,0.3564,0.3934,262797468.0
2025-05-01,0.3934,0.3981,0.3693,0.3782,66963721.0
2025-05-02,0.3782,0.3862,0.338,0.3525,67358993.0
2025-05-03,0.3524,0.3541,0.33,0.3312,34848045.0
2025-05-04,0.3312,0.3325,0.2819,0.3018,121121734.0
2025-05-05,0.302,0.3247,0.2908,0.2967,90126430.0
2025-05-06,0.2966,0.3054,0.2722,0.2863,82590040.0
2025-05-07,0.2863,0.2962,0.2603,0.2798,50973605.0
2025-05-08,0.2799,0.3482,0.2757,0.3398,100522954.0
2025-05-09,0.3398,0.3663,0.3317,0.3493,64336468.0
2025-05-10,0.3493,0.3662,0.3186,0.3427,58995956.0
2025-05-11,0.3426,0.3923,0.3286,0.3611,77067302.0
2025-05-12,0.3612,0.3707,0.3059,0.3265,93029077.0
2025-05-13,0.3263,0.3299,0.295,0.3198,58889972.0
2025-05-14,0.3197,0.3485,0.2882,0.2916,90746860.0
2025-05-15,0.2917,0.3006,0.2475,0.2591,71867636.0
2025-05-16,0.2592,0.2713,0.2476,0.2541,40162304.0
2025-05-17,0.2543,0.2645,0.2374,0.2493,65697801.0
2025-05-18,0.2494,0.2867,0.2471,0.284,37183589.0
2025-05-19,0.284,0.2849,0.2458,0.2647,33969189.0
2025-05-20,0.2647,0.308,0.2576,0.2779,204263821.0
2025-05-21,0.278,0.2891,0.2601,0.2738,73869598.0
2025-05-22,0.2739,0.2795,0.2508,0.2583,48078367.0
2025-05-23,0.2584,0.2711,0.2266,0.2288,94384992.0
2025-05-24,0.2287,0.2391,0.2252,0.2328,33728398.0
2025-05-25,0.2329,0.235,0.2118,0.2248,34395742.0
2025-05-26,0.2249,0.2327,0.2164,0.2196,30470591.0
2025-05-27,0.2197,0.2307,0.2067,0.223,39060468.0
2025-05-28,0.2231,0.2262,0.2077,0.2193,28743152.0
2025-05-29,0.2193,0.2273,0.2016,0.2043,33003260.0
2025-05-30,0.2042,0.2058,0.1701,0.1729,69645946.0
2025-05-31,0.1729,0.1787,0.1688,0.176,19497706.0
2025-06-01,0.1879,0.1917,0.1859,0.1873,2943147.0
